iebm_id,dane_institucion,nombre,direccion,municipio,departamento,latitud,longitud
1,311769001552.0,Colegio San Luis de la Policia Nacional,Avenida Boyaca 142 A 55,Bogota,Cundinamarca,4.6533817,-74.0836331
2,,FALTA INFORMACION DE NUESTRA SEÑORA DE FATIMA DE BOGOTA,,,,,
3,311001018499.0,COL ELISA BORRERO DE PASTRANA,Carrera 95 # 76-24 - CALLE 72A # 94A 50,Bogota,Cundinamarca,4.6533817,-74.0836331
4,350001001559.0,COLEGIO NUESTRA SEÑORA DE FATIMA-PONAL,Calle 44 No. 35C  02,Villavicencio,,4.1114594,-73.4967836
5,315001000145.0,COLEGIO NUESTRA SEÑORA DE FÁTIMA,CR. 15 16-01,Tunja,,5.5324313,-73.3616014
6,168001000401.0,INSTITUCIÓN EDUCATIVA NUESTRA SEÑORA DE FÁTIMA,KA 12 41 69,Bucaramanga,,7.1669842,-73.1047294
7,354001006823.0,Colegio Nuestra Señora de Fátima,Calle 7 No. 6E-22,Cucuta,,8.0776187,-72.4689002
8,120001000271.0,I.E. NUESTRA SEÑORA DE FATIMA,Calle 28 N 5 51,Valledupar,,10.3431115,-73.3757934
9,347001050826.0,I.E.D. COLEGIO NUESTRA SEÑORA DE FATIMA,CRA 16 C 9A 91,Santa Marta,,11.2320944,-74.1950916
10,108758001852.0,INSTITUCIÓN EDUCATIVA NUESTRA SEÑORA DE FATIMA,Calle 30 No 30 - 152,Soledad,,10.9099529,-74.7919847
11,313001002251.0,COLEGIO NUESTRA SEÑORA DE FATIMA DE LA POLICIA NACIONAL,Diagonal 32 No. 85-158,Cartagena,,10.4040333,-75.4837731
12,170001000201.0,INSTITUCION EDUCATIVA NUESTRA SEÑORA DE FATIMA,CR 26 N¿ 12-27,Sincelejo,,9.2973386,-75.3926601
13,223001002103.0,IE NUESTRA SEÑORA DE FATIMA,kilometro 5 carretera via cerete,Monteria,,8.7509361,-75.8786806
14,105088001679.0,Colegio Santo Domingo de Guzmán,Carrera 45 N¿ 22D - 184,Bello,,6.334997,-75.5582665
15,141001001593.0,INSTITUCION EDUCATIVA SAN MIGUEL ARCANGEL,Carrera 1 No. 39 - 23 Candido Leguizamo,Neiva,,3.0332554,-75.2794303
16,273001000337.0,COLEGIO NUESTRA SEÑORA DE FATIMA IBAGUÉ,Carrera 48 Sur Nº157-199 Sector Picaleña,Ibagué,,4.4386033,-75.2108857
17,117001004373.0,COLEGIO NUESTRA SEÑORA DE FATIMA,calle 67 carrera 12 esquina,Manizales,,5.0743694,-75.5081167
18,166001000565.0,IE NUESTRA SEÑORA DE FATIMA,CARRERA 8 # 40-65,Pereira,,4.8158313,-75.7119101
19,363001001421.0,NUESTRA SEÑORA DE FATIMA - ARMENIA,Kilometro 1.5 Via Aeropuerto El Eden,Armenia,,4.4919761,-75.7413509
20,376001002546.0,COLEGIO NUESTRA SEÑORA DE FATIMA,CALLE 62 NRO 6N - 31,Cali,,3.4108435,-76.5812127
21,119001000257.0,COLEGIO NUESTRA SEÑORA DE FATIMA DE LA POLICIA NACIONAL,CALLE 8 18 78 BARRIO LA ESMERALDA,Popayán,,2.4422295,-76.6072368
22,352001001586.0,Colegio Nuestra señora de las lajas,Calle 2 Sur 33 19,Pasto,,1.2080706,-77.2890299
